secucode,publish_date,announcement_title,regulatory_focus_points_json
000040.SZ,2020-06-04,东旭蓝天-年报问询函-2020-06-04,"['说明东旭财务公司存款的日均余额、利率及利息金额，与市场水平是否存在差异。', '解释未表决董事未参与投票的原因，并分析担保事项的合理性。', '披露货币资金的具体情况及其大幅下降原因。', '解释预付款项增加和新增预付款的情况。', '说明主要预付款项的用途和增长原因。', '解释应收账款坏账准备转回的具体情况及充分性。', '逐项说明全额计提减值准备的其他应收款涉及事项']"
000040.SZ,2020-01-15,东旭蓝天-关注函-2020-01-15,"['核实并说明货币资金情况', '与关联财务公司资金往来的安全性', '是否存在控股股东及其关联方资金占用或违规担保情形', '有息负债偿付能力']"
000040.SZ,2023-05-31,东旭蓝天-年报问询函-2023-05-31,"['会计师事务所需列示保留意见涉及的财务报表科目及金额。', '判断问题（1）中所列科目是否是重要组成部分，对财务报表的影响是否具备广泛性。', '在存在多个无法获取充分审计证据的情况下，发表保留意见的合理性和适当性。', '补充披露广泛性的判断过程，并说明非标事项是否具有广泛性。', '详细说明诉讼会计处理及持续经营能力。', '结合资产负债率和有息负债情况，说明公司持续经营能力是否存在重大不确定性。', '控股股东存款受限情况及应对措施。', '应收账款坏账准备计提的充分性和合理性。']"
000040.SZ,2020-07-08,东旭蓝天-关注函-2020-07-08,"['说明董事长频繁变更的原因及合理性', '分析多名高管辞职对公司的影响', '独立董事核查董事长、总经理离职原因并发表意见', '其他需要说明的事项']"
000040.SZ,2020-09-25,东旭蓝天-半年报问询函-2020-09-25,"['说明5亿元定期存单涉及的利息是否已收回，预计时间及措施。', '说明采用方式化解担保责任风险的具体情况。', '说明货币资金的具体情况、受限原因及偿付能力。', '说明在财务公司增加存款的原因及合理性。', '说明与财务公司的还款计划执行情况。', '说明其他应收款的具体内容及追偿措施。', '说明新增预付款的具体情况。', '说明募投项目终止或结项的具体原因及后续安排。', '说明对特定项目的减值准备计提依据及合理性。', '说明投资额大幅增长的原因及具体投资项目。', '说明商业承兑汇票坏账准备收回或转回的具体情况。']"
000040.SZ,2021-05-26,东旭蓝天-年报问询函-2021-05-26,"['逐项列示诉讼事项并说明影响及措施', '解释全年和第四季度收入变动差异原因', '披露预付款项情况及其合理性', '说明应收关联方款项形成原因及是否构成资金占用', '分析应收账款变化原因及评估损失率', '解释应收账款减值准备转回的依据', '评估公司持续经营能力和现金流改善措施']"
000046.SZ,2022-01-30,泛海控股-关注函-2022-01-30,"['说明对美国地产项目及印度尼西亚电厂预计计提减值准备的金额及具体情况。', '详细说明民生信托对个别项目计提公允价值损失和减值准备的情况。', '说明报告期计入损益的财务费用内容及金额、增加的原因及合理性。', '说明与上年同期相比减值准备计提、财务费用确认的会计政策是否发生重大变化，相关会计处理是否符合企业会计准则的规定。']"
000046.SZ,2021-12-23,泛海控股-非许可类重组问询函-2021-12-23,"['说明上述交易是否构成一揽子交易、审议程序和信息披露的合法合规性。', '说明失去控制权的原因及认定依据。', '分析前后信息披露是否一致，是否存在前后判断依据不一致、信息披露不准确或误导性陈述等情形。', '结合民生证券的每股净资产、溢价、估值情况等，说明会计处理及其影响。', '披露往来款项、交易完成后是否构成对外提供财务资助。', '说明为民生证券提供担保的具体情况及后续审议程序。', '核查本次重组草案是否符合格式准则要求。', '分析此次交易是否有利于上市公司增强持续经营能力。', '分析重组是否会导致公司整体战略变化及其影响。']"
000046.SZ,2021-06-02,泛海控股-年报问询函-2021-06-02,"['变更会计师事务所的具体原因及过程', '交易性金融资产的分类依据和公允价值变动情况', '货币资金的存放地点、归集主体等信息，以及受限情况', '应收账款坏账准备计提的合理性', '预付款项增长较快的原因及合理性', '其他应收款的具体内容及坏账准备计提情况', '存货周转率较低的原因及存货跌价准备计提情况', '债权投资大幅增长的原因及减值损失']"
000046.SZ,2021-02-01,泛海控股-关注函-2021-02-01,"['说明2020年拟计提商誉减值准备的预计金额及过程。', '说明除商誉外其他主要资产、房地产项目存货减值准备和公允价值损失的预计金额及测算过程。', '说明财务费用预计增长情况和主要原因，以及汇兑损益影响。', '说明涉及中期票据、信托项目的具体情况及信息披露义务履行情况。']"
000046.SZ,2023-04-04,泛海控股-关注函-2023-04-04,"['说明民生证券股份被拍卖成交后再次冻结的具体原因及进展。', '分析民生证券股份再次冻结对交易实施的影响并提示风险。', '自查是否存在重大债务到期或逾期但未披露的情况，并提示流动性风险。']"
000046.SZ,2023-05-05,泛海控股-关注函-2023-05-05,"['核查各增持主体增持资金来源及占比。', '说明一致行动关系的具体情况。', '核查控股股东及其一致行动人股份冻结情况和资金状况。', '说明是否存在忽悠式增持。', '补充披露公告的完整性、齐备性。']"
000046.SZ,2023-04-25,泛海控股-关注函-2023-04-25,"['狮王资产债权详情及关联关系核查', '预重整和重整事项后续决策与审批程序说明', '破产事项披露情况确认', '近期调研情况说明', '控股股东及相关人员股票买卖行为核查', '其他需要说明的事项']"
000046.SZ,2022-05-18,泛海控股-年报问询函-2022-05-18,"['会计师事务所补充披露保留事项的形成过程及原因等。', '公司解释营业收入季度波动的原因。', '公司说明经营活动现金流量净额与净利润变动趋势不匹配的原因。', '公司详细说明泛海控股国际投资出表的具体情况。', '公司解释前五大客户销售金额变化的原因。', '公司说明财务费用增长和利息费用增加的原因及合理性。', '公司解释信托业务收入大幅减少的原因。']"
000046.SZ,2023-05-20,*ST泛海-年报问询函-2023-05-20,"['会计师事务所对保留意见的形成过程及原因进行说明。', '会计师事务所对公司持续经营能力的审计意见是否恰当。', '公司对通海金融股票被接管后仍纳入合并报表范围的原因及合理性。', '公司会计处理是否符合企业会计准则相关规定。', '公司货币资金存放情况及境外业务开展情况。']"
000046.SZ,2023-01-31,泛海控股-关注函-2023-01-31,"['详细说明民生信托计提预计负债的具体情况。', '与上年同期相比，信托风险项目计提预计负债的会计政策、确认依据是否发生重大变化。', '是否存在或变相导致上市公司资金被控股股东占用的情况。', '报告期根据诉讼判决计提的利息、罚息、履行金的内容及金额。', '披露公司股票交易可能被实施退市风险警示的风险提示公告。', '对完成2022年年度审计工作的可行性进行分析。']"
000050.SZ,2024-03-30,深天马Ａ-年报问询函-2024-03-30,"['净利润亏损原因及影响程度分析', '电子元器件销售量、营业收入增长的具体原因及合理性', '收入确认政策及真实性', '营业成本核算方法及变动情况', '主要产品毛利率下降的原因及合理性', '财务费用增加的原因及合理性', '固定资产转固时点的恰当性及其影响', '联营公司业绩亏损的具体原因及长期股权投资减值测试', '对外投资审议程序履行情况及预计效益时间', '商誉减值测试过程及谨慎性']"
000058.SZ,2020-07-06,深 赛 格-关注函-2020-07-06,"['业绩承诺期内出售西安康鸿的原因及合理性', '股权转让安排是否符合相关规定', '披露回款期限及相关措施', '评估结果与2016年差异原因', '其他需说明事项']"
000058.SZ,2021-11-19,深 赛 格-关注函-2021-11-19,"['是否与华为签订相关合作协议及协议内容。', '光伏业务2020年收入和净利润情况及其对公司业绩影响。', '逆变器转化率数据来源。', '四碲化镉生产线业务开展情况。', '赛格龙焱业务进展及相关能力说明。', '互动平台回复是否客观、审慎及是否存在利用市场热点影响股价情形。']"
000058.SZ,2022-02-28,深 赛 格-关注函-2022-02-28,"['说明资产被冻结或其他受限情况', '自查是否触及风险警示情形']"
000068.SZ,2023-06-13,华控赛格-年报问询函-2023-06-13,"['亏损原因及合理性说明', '净资产大幅减少的原因', '营业收入扣除项目业务的商业实质和收入确认合规性', '净利润与现金流量净额差异及原因', '公司持续经营能力分析', '业绩预告与实际业绩差异原因', '持有待售资产会计处理合理性', '审计机构变更相关事项']"
000068.SZ,2022-04-01,华控赛格-年报问询函-2022-04-01,"['未对理财协议纠纷计提预计负债的原因及合理性', '贸易业务的商业实质和收入确认条件', '资产负债率上升原因及偿债风险', '利息支出和收入变化原因', '专业技术及运营服务毛利率下降原因', '海绵城市PPP 项目会计处理调整及相关信息']"
000068.SZ,2020-05-19,华控赛格-年报问询函-2020-05-19,"['连续两年扣非净利润为负的原因及持续经营能力', '投资收益合理性及利润调节情况', '政府补助会计处理依据及合理性', '货币资金充裕情况下举债原因及合理性', '自查是否存在与控股股东共管账户的情况', '应收账款坏账准备计提充分性', '在建工程后续计划、预计完工时间及减值迹象', '商誉减值测试及计提是否充分', '长期应收款收入确认条件及回收风险', '关联方资金占用情况']"
000068.SZ,2022-12-12,华控赛格-关注函-2022-12-12,"['详细说明收益权采用收益法评估的原因及参数选取情况。', '说明华控置业拥有的土地开发后剩余价值收益权的具体范畴及其权益保障。', '说明坪山厂区土地整备事项的会计处理方式及对公司财务数据的影响。']"
002083.SZ,2021-02-03,孚日股份-关注函-2021-02-03,"['高源化工无形资产的具体情况', '净利润预测的合理性及评估结果公允性', '收购原因及商业合理性', '增减资目的和未全部收购的原因']"
000100.SZ,2020-06-05,TCL科技-许可类重组问询函-2020-06-05,"['说明武汉华星与其他非关联第三方交易情况及关联交易定价公允性', '说明武汉华星流动资产构成及变动原因', '分析2019年末应收账款回款情况及其对评估值的影响', '说明内部交易对本次评估值的影响']"
000151.SZ,2022-05-31,中成股份-关注函-2022-05-31,"['核实是否存在应披露而未披露的重大信息及公司基本面是否发生重大变化', '书面函询控股股东（或实际控制人）是否有股权转让、资产重组等计划', '说明近期接待机构和个人投资者调研的情况，是否存在违反公平披露原则的事项', '核查董事、监事、高级管理人员及其直系亲属是否存在买卖股票的行为']"
000151.SZ,2021-11-30,中成股份-非许可类重组问询函-2021-11-30,"['业绩承诺与实际盈利情况不匹配的原因及合理性。', '交易标的承诺期业绩低于前期已实现业绩的原因及合理性。', '两次估值结果差异较大的原因及合理性。', '工程承包类业务的具体模式、资金需求及回款情况。', '前五大客户集中度较高的原因及合理性，合作可持续性等。', '上市公司债务偿付能力分析及应对措施。', '交易标的境内、外收入及利润预测情况及其汇率风险。', '应收账款占比较高的原因及坏账准备计提是否充分。', '2021年8-12月营业费用较低的原因。', '本次交易需办理的外汇审批手续进展情况。', '控制权变更条款对业务合作的影响。', '表决权委托的具体期限。', '物业印花税缴纳凭证无法提取及分支机构证书未收到的原因']"
000152.SZ,2022-03-30,山  航Ｂ-年报问询函-2022-03-30,"['分析净利润连续两年亏损的具体原因及合理性，是否影响持续经营能力。', '说明是否存在偿债风险及提高偿债能力的应对措施。', '解释财务费用增幅较快的原因及合理性。', '补充未来发展战略、经营计划等以增强持续经营能力。']"
000152.SZ,2023-01-18,*ST山航B-关注函-2023-01-18,"['要约收购价格低于当前二级市场股票价格', '要约收购实施存在不确定性', '年报披露后面临停牌及强制退市风险', '退市整理期交易风险']"
000152.SZ,2022-12-12,*ST山航B-关注函-2022-12-12,"['自框架协议签订以来的工作进展及最新状况', '交易继续推进的主要难点和障碍，以及协议签署的不确定性', '合作意愿、后续协议签订及相关义务履行意愿的变化情况', '公司面临的退市及其他风险评估']"
000152.SZ,2022-09-05,*ST山航B-关注函-2022-09-05,"['披露2022年半年度报告后面临的财务类退市风险', '收购事项的不确定性及内幕交易核查', '已披露信息更正与补充', '控股股东等书面函询', '接待调研情况说明']"
000532.SZ,2020-09-12,华金资本-非许可类重组问询函-2020-09-12,"['补充说明拟转让份额对应的9家合伙企业及1项契约型基金情况。', '结合同行业可比公司情况，说明评估原因及合理性。', '年审会计师说明最近两年前述资产公允价值评估计算过程和方法。', '补充说明拟转让份额的具体评估过程。', '说明新冠病毒疫情对线上、线下影视项目估值影响。', '结合前期披露的发展战略规划，说明本次将投资的合伙企业合伙份额和基金份额转让必要性。', '详细说明无法按照《26号准则》要求披露的具体事项内容。', '分析说明在使用资产基础法评估情况下做出上述过渡期安排的原因及其合理性。']"
000587.SZ,2020-09-03,*ST金洲-半年报问询函-2020-09-03,"['重组事项的业绩承诺与实际经营情况差异原因', '丰汇租赁分红及资金支持情况', '重组合理性及定价公允性分析', '资产减值准备计提是否充分', '收购标的资产过程中尽职调查的充分性', '重大资产重组进展公告内容真实性', '监事李书升未出席监事会会议原因', '监事会会议主持程序合规性', '独立董事履职情况', '公司治理风险及信息披露问题', '加工批发业务开展情况与财务数据矛盾解释', '镶嵌类产品采购合理性', '融资租赁业务收入确认和成本结转的会计政策', '营业收入与现金流量差异原因']"
000014.SZ,2022-04-13,沙河股份-年报问询函-2022-04-13,"['营业收入和扣非前后净利润大幅增加的原因及合理性，以及经营活动产生的现金流量净额为负且与营业收入、净利润变动趋势相背离的原因。', '资本化借款费用的计算过程及合规性，存货跌价准备计提的充分性和合规性。', '报告期新增在建工程的具体情况及其审计程序。', '土地储备和未来经营业绩的相关问题']"
000014.SZ,2022-01-27,沙河股份-关注函-2022-01-27,"['核实第四季度主营业务收入构成、毛利率差异及扭亏合理性', '说明长沙沙河城项目及新乡世纪新城项目销售情况及其收入确认', '是否存在应扣除的营业收入并核查其合规性', '评估是否触及退市风险警示情形']"
001339.SZ,2023-01-16,智微智能-关注函-2023-01-16,"['说明首次授予股票期权的自主定价原因及合理性。', '核查激励计划是否有利于公司持续发展，是否存在损害利益情形。']"
000020.SZ,2021-12-27,深华发Ａ-关注函-2021-12-27,"['对比同行业公司的存货周转情况及其会计政策，说明变更的合理性。', '说明采用未来适用法的合规性。', '自查财务数据是否需调整及审议程序履行情况。', '自查变更事项是否需提请股东大会审议并披露影响。', '重新评估变更对前期财务数据的影响。', '其他需要说明的事项。']"
000020.SZ,2022-05-13,深华发Ａ-年报问询函-2022-05-13,"['分析长期微利或亏损原因及应对措施', '解释经营活动现金流大幅减少和净利润差异的原因', '说明关联交易占比波动的原因及合理性', '解释票据结算比重与行业特点相符性及坏账准备计提情况', '披露短期负债偿还情况及货币资金对偿债能力的影响', '补充长账龄应收款项的具体情况及坏账准备计提充分性', '说明关联企业交易事项的审议程序和信息披露义务', '披露诉讼案件情况及其对公司影响']"
000036.SZ,2020-07-27,华联控股-关注函-2020-07-27,"['核实锦江集团等方持有华联集团股权情况及是否存在关联关系或一致行动关系。', '自查并说明知悉涉及华联集团股权转让事项的具体时间和过程，是否及时履行信息披露义务。', '函询涉及华联集团股权转让的具体情况，包括协议签署时间、资金交割情况等。', '函询河南富鑫、长安信托、浙江康瑞前述股权转让事项的具体情况及其与本次转让的关系。', '函询杭州金研的股权结构及收购资格，并说明股权转让是否存在实质性障碍或重大不确定性。']"
000038.SZ,2020-02-14,深大通-关注函-2020-02-14,"['受让方基本情况及关联关系核查', '受让方财务数据与支付能力评估', '受让方失信情况及其影响', '拍卖交易最终结果说明', '股权过户时间及相关损益归属', '股权转让收益及财务影响', '业绩补偿款回收情况及影响']"
000038.SZ,2021-05-31,深大通-年报问询函-2021-05-31,"['差额补足协议的具体条款及触发条件，信息披露情况。', '补充法学专家意见并说明一审判决情况下判断不需履行的原因。', '会计处理依据及其合理性。', '小额未决诉讼案件的详细情况及预计负债计提。', '强调事项审计程序及对公司财务报表影响。', '差额补足义务最新进展及应对措施。', '信息披露违规事项整改情况，内控审计机构意见。']"
000038.SZ,2023-01-31,*ST大通-关注函-2023-01-31,"['解释2022年减值计提变化的原因及合理性', '披露子公司股权拍卖详情并说明对非标意见事项的影响', '说明未聘任审计机构的原因及可能的终止上市风险']"
