semantic_column,source_feature,description
announcement_semantic_120,th_B01_max,主题 B01 近180天最高风险分
announcement_semantic_121,th_B01_cnt,主题 B01 近180天证据条数
announcement_semantic_122,th_B02_max,主题 B02 近180天最高风险分
announcement_semantic_123,th_B02_cnt,主题 B02 近180天证据条数
announcement_semantic_124,th_B03_max,主题 B03 近180天最高风险分
announcement_semantic_125,th_B03_cnt,主题 B03 近180天证据条数
announcement_semantic_126,th_B04_max,主题 B04 近180天最高风险分
announcement_semantic_127,th_B04_cnt,主题 B04 近180天证据条数
announcement_semantic_128,th_B05_max,主题 B05 近180天最高风险分
announcement_semantic_129,th_B05_cnt,主题 B05 近180天证据条数
announcement_semantic_130,th_C01_max,主题 C01 近180天最高风险分
announcement_semantic_131,th_C01_cnt,主题 C01 近180天证据条数
announcement_semantic_132,th_C02_max,主题 C02 近180天最高风险分
announcement_semantic_133,th_C02_cnt,主题 C02 近180天证据条数
announcement_semantic_134,th_C03_max,主题 C03 近180天最高风险分
announcement_semantic_135,th_C03_cnt,主题 C03 近180天证据条数
announcement_semantic_136,th_C04_max,主题 C04 近180天最高风险分
announcement_semantic_137,th_C04_cnt,主题 C04 近180天证据条数
announcement_semantic_138,th_C05_max,主题 C05 近180天最高风险分
announcement_semantic_139,th_C05_cnt,主题 C05 近180天证据条数
announcement_semantic_140,th_C06_max,主题 C06 近180天最高风险分
announcement_semantic_141,th_C06_cnt,主题 C06 近180天证据条数
announcement_semantic_142,th_D01_max,主题 D01 近180天最高风险分
announcement_semantic_143,th_D01_cnt,主题 D01 近180天证据条数
announcement_semantic_144,th_D02_max,主题 D02 近180天最高风险分
announcement_semantic_145,th_D02_cnt,主题 D02 近180天证据条数
announcement_semantic_146,th_D03_max,主题 D03 近180天最高风险分
announcement_semantic_147,th_D03_cnt,主题 D03 近180天证据条数
announcement_semantic_148,th_D04_max,主题 D04 近180天最高风险分
announcement_semantic_149,th_D04_cnt,主题 D04 近180天证据条数
announcement_semantic_150,th_D05_max,主题 D05 近180天最高风险分
announcement_semantic_151,th_D05_cnt,主题 D05 近180天证据条数
announcement_semantic_152,th_D06_max,主题 D06 近180天最高风险分
announcement_semantic_153,th_D06_cnt,主题 D06 近180天证据条数
announcement_semantic_154,th_E02_max,主题 E02 近180天最高风险分
announcement_semantic_155,th_E02_cnt,主题 E02 近180天证据条数
announcement_semantic_156,th_E03_max,主题 E03 近180天最高风险分
announcement_semantic_157,th_E03_cnt,主题 E03 近180天证据条数
announcement_semantic_158,th_E04_max,主题 E04 近180天最高风险分
announcement_semantic_159,th_E04_cnt,主题 E04 近180天证据条数
announcement_semantic_160,th_E05_max,主题 E05 近180天最高风险分
announcement_semantic_161,th_E05_cnt,主题 E05 近180天证据条数
announcement_semantic_162,th_E06_max,主题 E06 近180天最高风险分
announcement_semantic_163,th_E06_cnt,主题 E06 近180天证据条数
announcement_semantic_164,th_E07_max,主题 E07 近180天最高风险分
announcement_semantic_165,th_E07_cnt,主题 E07 近180天证据条数
announcement_semantic_166,th_F01_max,主题 F01 近180天最高风险分
announcement_semantic_167,th_F01_cnt,主题 F01 近180天证据条数
announcement_semantic_168,th_F02_max,主题 F02 近180天最高风险分
announcement_semantic_169,th_F02_cnt,主题 F02 近180天证据条数
announcement_semantic_170,th_F03_max,主题 F03 近180天最高风险分
announcement_semantic_171,th_F03_cnt,主题 F03 近180天证据条数
announcement_semantic_172,th_F04_max,主题 F04 近180天最高风险分
announcement_semantic_173,th_F04_cnt,主题 F04 近180天证据条数
announcement_semantic_174,th_F05_max,主题 F05 近180天最高风险分
announcement_semantic_175,th_F05_cnt,主题 F05 近180天证据条数
announcement_semantic_176,th_F06_max,主题 F06 近180天最高风险分
announcement_semantic_177,th_F06_cnt,主题 F06 近180天证据条数
announcement_semantic_178,th_G01_max,主题 G01 近180天最高风险分
announcement_semantic_179,th_G01_cnt,主题 G01 近180天证据条数
announcement_semantic_180,th_G03_max,主题 G03 近180天最高风险分
announcement_semantic_181,th_G03_cnt,主题 G03 近180天证据条数
announcement_semantic_182,th_G04_max,主题 G04 近180天最高风险分
announcement_semantic_183,th_G04_cnt,主题 G04 近180天证据条数
announcement_semantic_184,th_G05_max,主题 G05 近180天最高风险分
announcement_semantic_185,th_G05_cnt,主题 G05 近180天证据条数
announcement_semantic_186,th_G06_max,主题 G06 近180天最高风险分
announcement_semantic_187,th_G06_cnt,主题 G06 近180天证据条数
announcement_semantic_188,th_G07_max,主题 G07 近180天最高风险分
announcement_semantic_189,th_G07_cnt,主题 G07 近180天证据条数
announcement_semantic_190,th_H01_max,主题 H01 近180天最高风险分
announcement_semantic_191,th_H01_cnt,主题 H01 近180天证据条数
announcement_semantic_192,th_H02_max,主题 H02 近180天最高风险分
announcement_semantic_193,th_H02_cnt,主题 H02 近180天证据条数
announcement_semantic_194,days_since_high,距上次高风险公告天数
announcement_semantic_195,days_since_ann,距上次公告天数
announcement_semantic_196,trend_90_delta,风险分90天环比变化
