feature,source_feature,description,reason
announcement_semantic_111,th_A02_cnt,主题 A02 近180天证据条数,与 F1 的 announcement_semantic_110 重复 (rho=0.999)
announcement_semantic_113,th_A03_cnt,主题 A03 近180天证据条数,与 F1 的 announcement_semantic_093 重复 (rho=0.957)
announcement_semantic_115,th_A04_cnt,主题 A04 近180天证据条数,与 F1 的 announcement_semantic_114 重复 (rho=0.999)
announcement_semantic_117,th_A05_cnt,主题 A05 近180天证据条数,与 F1 的 announcement_semantic_116 重复 (rho=1.000)
announcement_semantic_119,th_A06_cnt,主题 A06 近180天证据条数,与 F1 的 announcement_semantic_118 重复 (rho=1.000)
announcement_semantic_120,th_B01_max,主题 B01 近180天最高风险分,常量列（无方差）
announcement_semantic_121,th_B01_cnt,主题 B01 近180天证据条数,常量列（无方差）
announcement_semantic_125,th_B03_cnt,主题 B03 近180天证据条数,与 F1 的 announcement_semantic_124 重复 (rho=0.972)
announcement_semantic_127,th_B04_cnt,主题 B04 近180天证据条数,与 F1 的 announcement_semantic_126 重复 (rho=0.955)
announcement_semantic_133,th_C02_cnt,主题 C02 近180天证据条数,与 F1 的 announcement_semantic_132 重复 (rho=0.999)
announcement_semantic_135,th_C03_cnt,主题 C03 近180天证据条数,与 F1 的 announcement_semantic_134 重复 (rho=0.996)
announcement_semantic_139,th_C05_cnt,主题 C05 近180天证据条数,与 F1 的 announcement_semantic_138 重复 (rho=0.974)
announcement_semantic_142,th_D01_max,主题 D01 近180天最高风险分,与 F1 的 announcement_semantic_098 重复 (rho=0.985)
announcement_semantic_145,th_D02_cnt,主题 D02 近180天证据条数,与 F1 的 announcement_semantic_144 重复 (rho=1.000)
announcement_semantic_147,th_D03_cnt,主题 D03 近180天证据条数,与 F1 的 announcement_semantic_146 重复 (rho=0.968)
announcement_semantic_151,th_D05_cnt,主题 D05 近180天证据条数,与 F1 的 announcement_semantic_150 重复 (rho=1.000)
announcement_semantic_155,th_E02_cnt,主题 E02 近180天证据条数,与 F1 的 announcement_semantic_154 重复 (rho=1.000)
announcement_semantic_156,th_E03_max,主题 E03 近180天最高风险分,与 F1 的 announcement_semantic_100 重复 (rho=0.980)
announcement_semantic_157,th_E03_cnt,主题 E03 近180天证据条数,与 F1 的 announcement_semantic_101 重复 (rho=0.975)
announcement_semantic_159,th_E04_cnt,主题 E04 近180天证据条数,与 F1 的 announcement_semantic_158 重复 (rho=1.000)
announcement_semantic_161,th_E05_cnt,主题 E05 近180天证据条数,与 F1 的 announcement_semantic_160 重复 (rho=0.956)
announcement_semantic_163,th_E06_cnt,主题 E06 近180天证据条数,与 F1 的 announcement_semantic_162 重复 (rho=1.000)
announcement_semantic_165,th_E07_cnt,主题 E07 近180天证据条数,与 F1 的 announcement_semantic_164 重复 (rho=0.982)
announcement_semantic_166,th_F01_max,主题 F01 近180天最高风险分,与 F1 的 announcement_semantic_102 重复 (rho=0.957)
announcement_semantic_167,th_F01_cnt,主题 F01 近180天证据条数,与 F1 的 announcement_semantic_103 重复 (rho=0.960)
announcement_semantic_169,th_F02_cnt,主题 F02 近180天证据条数,与 F1 的 announcement_semantic_168 重复 (rho=1.000)
announcement_semantic_171,th_F03_cnt,主题 F03 近180天证据条数,与 F1 的 announcement_semantic_170 重复 (rho=1.000)
announcement_semantic_173,th_F04_cnt,主题 F04 近180天证据条数,与 F1 的 announcement_semantic_172 重复 (rho=0.991)
announcement_semantic_175,th_F05_cnt,主题 F05 近180天证据条数,与 F1 的 announcement_semantic_174 重复 (rho=1.000)
announcement_semantic_176,th_F06_max,主题 F06 近180天最高风险分,常量列（无方差）
announcement_semantic_177,th_F06_cnt,主题 F06 近180天证据条数,常量列（无方差）
announcement_semantic_179,th_G01_cnt,主题 G01 近180天证据条数,与 F1 的 announcement_semantic_178 重复 (rho=1.000)
announcement_semantic_181,th_G03_cnt,主题 G03 近180天证据条数,与 F1 的 announcement_semantic_180 重复 (rho=1.000)
announcement_semantic_183,th_G04_cnt,主题 G04 近180天证据条数,与 F1 的 announcement_semantic_182 重复 (rho=0.988)
announcement_semantic_185,th_G05_cnt,主题 G05 近180天证据条数,与 F1 的 announcement_semantic_184 重复 (rho=1.000)
announcement_semantic_187,th_G06_cnt,主题 G06 近180天证据条数,与 F1 的 announcement_semantic_186 重复 (rho=0.991)
announcement_semantic_189,th_G07_cnt,主题 G07 近180天证据条数,与 F1 的 announcement_semantic_188 重复 (rho=1.000)
announcement_semantic_190,th_H01_max,主题 H01 近180天最高风险分,与 F1 的 announcement_semantic_106 重复 (rho=1.000)
announcement_semantic_191,th_H01_cnt,主题 H01 近180天证据条数,与 F1 的 announcement_semantic_107 重复 (rho=0.999)
announcement_semantic_193,th_H02_cnt,主题 H02 近180天证据条数,与 F1 的 announcement_semantic_192 重复 (rho=1.000)
