feature,taxonomy_l1,taxonomy_l2,theme_name,status
f2_roe_industry_rank,A,A03,利润、扣非利润与业绩波动,auto
f2_roe_qoq,A,A03,利润、扣非利润与业绩波动,auto
f2_roe_volatility,A,A03,利润、扣非利润与业绩波动,auto
f2_roe_yoy,A,A03,利润、扣非利润与业绩波动,auto
f2_sgai,B,B03,会计政策、会计估计与差错更正,auto
f2_sgi,B,B03,会计政策、会计估计与差错更正,auto
f2_tata,B,B03,会计政策、会计估计与差错更正,auto
f2_trend_deterioration,A,A03,利润、扣非利润与业绩波动,auto
f2_z_debt_ratio,D,D03,债务结构与偿债能力,auto
f2_z_net_margin,A,A03,利润、扣非利润与业绩波动,auto
f2_z_pb,H,H01,股价、成交量与市场交易异常,auto
f2_z_pe,H,H01,股价、成交量与市场交易异常,auto
f2_z_profit_yoy,A,A03,利润、扣非利润与业绩波动,auto
f2_z_revenue_yoy,A,A01,收入规模与收入变动,auto
f2_z_roe,A,A03,利润、扣非利润与业绩波动,auto
f6_annual_report_inquiry_count,HIST,HIST,历史问询（强度/时点/节奏）,confirmed
f6_attention_letter_count,HIST,HIST,历史问询（强度/时点/节奏）,confirmed
f6_avg_inquiry_interval_days,HIST,HIST,历史问询（强度/时点/节奏）,confirmed
f6_first_inquiry_interval_days,HIST,HIST,历史问询（强度/时点/节奏）,confirmed
f6_inquiry_count_12m,HIST,HIST,历史问询（强度/时点/节奏）,confirmed
f6_inquiry_count_24m,HIST,HIST,历史问询（强度/时点/节奏）,confirmed
f6_inquiry_count_60m,HIST,HIST,历史问询（强度/时点/节奏）,confirmed
f6_inquiry_interval_cv,HIST,HIST,历史问询（强度/时点/节奏）,confirmed
f6_last_inquiry_interval_days,HIST,HIST,历史问询（强度/时点/节奏）,confirmed
f6_restructuring_inquiry_count,E,E05,并购重组与重大资产交易,confirmed
f6_severity_score,HIST,HIST,历史问询（强度/时点/节奏）,confirmed
f6_unreplied_count,G,G05,信息披露及时性（不及时）,confirmed
gov_audit_firm_change,G,G03,会计师事务所变更与中介机构胜任能力,auto
gov_auditor_change,G,G03,会计师事务所变更与中介机构胜任能力,auto
gov_big4_auditor,G,G03,会计师事务所变更与中介机构胜任能力,auto
gov_board_size,F,F06,内部控制、三会治理与公司独立性,auto
gov_independent_director_count,F,F06,内部控制、三会治理与公司独立性,auto
gov_independent_director_ratio,F,F06,内部控制、三会治理与公司独立性,auto
gov_nonstandard_audit_opinion,G,G01,审计意见与非标准审计意见,auto
gov_top10_hhi,F,F01,控股股东与实际控制人,auto
gov_top10_holder_count,F,F01,控股股东与实际控制人,auto
gov_top10_holder_ratio,F,F01,控股股东与实际控制人,auto
gov_top1_holder_ratio,F,F01,控股股东与实际控制人,auto
gov_top1_top10_ratio,F,F01,控股股东与实际控制人,auto
gov_top1_top2_gap,F,F01,控股股东与实际控制人,auto
mkt_abnormal_volume_days_20d,H,H01,股价、成交量与市场交易异常,auto
mkt_amihud_illiquidity_20d,H,H01,股价、成交量与市场交易异常,auto
mkt_amount_cv_20d,H,H01,股价、成交量与市场交易异常,auto
mkt_amount_ratio_20d,H,H01,股价、成交量与市场交易异常,auto
mkt_cap_industry_zscore,H,H01,股价、成交量与市场交易异常,auto
mkt_days_since_last_risk_warning,H,H01,股价、成交量与市场交易异常,auto
mkt_excess_return_20d,H,H01,股价、成交量与市场交易异常,auto
mkt_extreme_down_days_20d,H,H01,股价、成交量与市场交易异常,auto
mkt_financing_balance,H,H01,股价、成交量与市场交易异常,auto
mkt_financing_balance_change,H,H01,股价、成交量与市场交易异常,auto
mkt_institutional_holder_count,H,H01,股价、成交量与市场交易异常,auto
mkt_institutional_holding_change,H,H01,股价、成交量与市场交易异常,auto
mkt_institutional_holding_ratio,H,H01,股价、成交量与市场交易异常,auto
mkt_log_market_cap,H,H01,股价、成交量与市场交易异常,auto
mkt_margin_total_balance,H,H01,股价、成交量与市场交易异常,auto
mkt_market_cap,H,H01,股价、成交量与市场交易异常,auto
mkt_market_cap_qoq,H,H01,股价、成交量与市场交易异常,auto
mkt_max_drawdown_60d,H,H01,股价、成交量与市场交易异常,auto
mkt_pb_change_qoq,H,H01,股价、成交量与市场交易异常,auto
mkt_pb_industry_zscore,H,H01,股价、成交量与市场交易异常,auto
mkt_pb_ratio,H,H01,股价、成交量与市场交易异常,auto
mkt_pe_change_qoq,H,H01,股价、成交量与市场交易异常,auto
mkt_pe_ratio,H,H01,股价、成交量与市场交易异常,auto
mkt_return_20d,H,H01,股价、成交量与市场交易异常,auto
mkt_return_5d,H,H01,股价、成交量与市场交易异常,auto
mkt_return_60d,H,H01,股价、成交量与市场交易异常,auto
mkt_risk_warning_count_30d,H,H01,股价、成交量与市场交易异常,auto
mkt_risk_warning_count_90d,H,H01,股价、成交量与市场交易异常,auto
mkt_risk_warning_flag_30d,H,H01,股价、成交量与市场交易异常,auto
mkt_securities_balance,H,H01,股价、成交量与市场交易异常,auto
mkt_volatility_20d,H,H01,股价、成交量与市场交易异常,auto
mkt_volatility_60d,H,H01,股价、成交量与市场交易异常,auto
mkt_volume_cv_20d,H,H01,股价、成交量与市场交易异常,auto
mkt_volume_ratio_20d,H,H01,股价、成交量与市场交易异常,auto
mkt_zero_volume_days_20d,H,H01,股价、成交量与市场交易异常,auto
sent_comment_count_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_guba_negative_ratio_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_guba_positive_ratio_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_guba_sentiment_mean_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_guba_sentiment_volatility_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_negative_news_count_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_negative_peak_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_negative_ratio_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_news_count_10d,H,H02,市场传闻、媒体报道与澄清,auto
sent_news_count_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_news_count_5d,H,H02,市场传闻、媒体报道与澄清,auto
sent_news_daily_peak_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_news_title_count_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_post_count_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_post_count_5d,H,H02,市场传闻、媒体报道与澄清,auto
sent_post_daily_peak_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_read_count_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_sentiment_mean_30d,H,H02,市场传闻、媒体报道与澄清,auto
sent_sentiment_volatility_30d,H,H02,市场传闻、媒体报道与澄清,auto
