level,code,name,parent_code,parent_name,type,note
L2_EXT,,内幕信息与敏感期交易,H,市场交易与证券行为,extended,扩展标签，不参与第一版分类评价
L2_EXT,,其他证券市场行为,H,市场交易与证券行为,extended,扩展标签，不参与第一版分类评价
QUESTION_TYPE,Q01,真实性,,,core,
QUESTION_TYPE,Q02,准确性,,,core,
QUESTION_TYPE,Q03,完整性,,,core,
QUESTION_TYPE,Q04,一致性,,,core,
QUESTION_TYPE,Q05,合理性,,,core,
QUESTION_TYPE,Q06,公允性,,,core,
QUESTION_TYPE,Q07,商业实质,,,core,
QUESTION_TYPE,Q08,充分性,,,core,
QUESTION_TYPE,Q09,审慎性,,,core,
QUESTION_TYPE,Q10,可持续性,,,core,
QUESTION_TYPE,Q11,合规性,,,core,
QUESTION_TYPE,Q12,及时性,,,core,
QUESTION_TYPE,Q13,独立性,,,core,
STAGE,P01,业务形成与交易设计,,,reference,参考性标注，不参与评分
STAGE,P02,合同履约与资金流转,,,reference,参考性标注，不参与评分
STAGE,P03,会计确认与计量,,,reference,参考性标注，不参与评分
STAGE,P04,财务列报与报表勾稽,,,reference,参考性标注，不参与评分
STAGE,P05,内部控制与治理审批,,,reference,参考性标注，不参与评分
STAGE,P06,审计鉴证与中介核查,,,reference,参考性标注，不参与评分
STAGE,P07,信息披露与风险提示,,,reference,参考性标注，不参与评分
STAGE,P08,监管调查、整改与反馈,,,reference,参考性标注，不参与评分
